WellFilterId|StateWellId|FilterMaterialId|FilterMaterialOtherDesc|TopDepth|BottomDepth|Size|CreatedDate|LastUpdateDate
408|109250|10||490|730||2017-04-05|2017-04-05
409|109488|10||200|264||2017-04-05|2017-04-05
410|110014|10||150|235||2017-04-05|2017-04-05
411|110815|10||605|705||2017-04-05|2017-04-05
412|110901|10||320|450||2017-04-05|2017-04-05
413|111119|10|||||2017-04-05|2017-04-05
414|111148|10||147|165||2017-04-05|2017-04-05
415|112479|10||140|174||2017-04-05|2017-04-05
416|112501|10||100|142||2017-04-05|2017-04-05
417|113164|10||400|482||2017-04-05|2017-04-05
418|129723|10||390|1010||2017-04-05|2017-04-05
419|130908|10||450|890||2017-04-05|2017-04-05
420|131794|10||200|248||2017-04-05|2017-04-05
421|132350|10||168|244||2017-04-05|2017-04-05
422|133049|10||205|238||2017-04-05|2017-04-05
423|133260|10||420|745|8/16"|2017-04-05|2017-04-05
424|135841|10||562|755||2017-04-05|2017-04-05
425|104025|10||1060|1497||2017-04-06|2017-04-06
426|104061|10||675|960||2017-04-06|2017-04-06
427|138259|10||650|1055||2017-04-10|2017-04-10
428|91988|10||2795|3086||2017-04-10|2017-04-10
429|101713|10|||||2017-04-10|2017-04-10
430|92672|10||18|59||2017-04-10|2017-04-10
431|139233|10||10|130|pea|2017-04-11|2017-04-11
432|51549|10||630|710||2017-04-11|2017-04-11
433|52855|2||580|652||2017-04-11|2017-04-11
434|52893|10||868|900||2017-04-11|2017-04-11
435|53433|10||320|440||2017-04-11|2017-04-11
436|54984|2||83|135||2017-04-11|2017-04-11
437|55422|10||460|580||2017-04-13|2017-04-13
438|55465|10||405|501||2017-04-13|2017-04-13
439|55478|10||318|352||2017-04-13|2017-04-13
440|55579|10||175|232||2017-04-13|2017-04-13
441|55591|10||875|960||2017-04-13|2017-04-13
442|55629|10||1100|1264||2017-04-13|2017-04-13
443|56505|10||638|700||2017-04-13|2017-04-13
444|57173|10||475|585||2017-04-13|2017-04-13
445|57744|10||1016|1079||2017-04-13|2017-04-13
446|139243|10||20|125|#1 Fine KS|2017-04-17|2017-04-17
447|139245|10||150|500||2017-04-17|2017-04-17
448|21384|10||567|664||2017-04-19|2017-04-19
449|21650|10||500|786||2017-04-19|2017-04-19
450|50231|10||125|220||2017-04-19|2017-04-19
451|51930|10||180|260||2017-04-19|2017-04-19
452|3759|10||175|430||2017-04-20|2017-04-20
453|139250|10||350|660|12/20|2017-04-24|2017-04-24
454|21366|10||658|752||2017-05-03|2017-05-03
455|21367|10||408|532||2017-05-03|2017-05-03
456|21643|10||461|610||2017-05-03|2017-05-03
457|24496|10||750|1025||2017-05-03|2017-05-03
458|47443|10||200|275||2017-05-03|2017-05-03
459|32151|10||45|133||2017-05-03|2017-05-03
460|32152|10||45|132||2017-05-03|2017-05-03
461|32153|10||45|116||2017-05-03|2017-05-03
462|6162|10||199|270||2017-05-03|2017-05-03
463|47445|10||400|600||2017-05-03|2017-05-03
464|48199|10||61|198||2017-05-03|2017-05-03
465|49516|10||3380|3554||2017-05-03|2017-05-03
466|72134|10||127|320||2017-05-03|2017-05-03
467|76978|10||0|895|12/20|2017-05-03|2017-05-03
468|76984|10||0|940|12/20|2017-05-03|2017-05-03
469|77023|10||0|920|12/20|2017-05-03|2017-05-03
470|77024|10||0|920|12/20|2017-05-03|2017-05-03
471|77025|10||0|920|12/20|2017-05-03|2017-05-03
472|77026|10||0|940|12/20|2017-05-03|2017-05-03
473|77051|10||0|860|12/20|2017-05-03|2017-05-03
474|77052|10||0|940|12/20|2017-05-03|2017-05-03
475|77053|10||0|912|12/20|2017-05-03|2017-05-03
