WaterQualityParameterId|WaterQualityParameterCode|ConstituentName|ParameterLongDescription|ParameterShortDescription|ParameterUnitOfMeasure|CreatedDate|LastUpdateDate
704|71870|BROMIDE|BROMIDE, DISSOLVED, (MG/L AS BR)|BR, DISS|MG/L||
705|71875|H2S|HYDROGEN SULFIDE, MG/L||MG/L||
706|71885|IRON|IRON (UG/L AS FE)|FE|UG/L||
707|71886|TOTALP|PHOSPHORUS, TOTAL AS PO4 (MG/L)|AS PO4|MG/L||
708|71887|TOTALN|NITROGEN, TOTAL (MG/L AS NO3)|AS NO3|MG/L||
709|71890|MERCURY|MERCURY, DISSOLVED (UG/L AS HG)|HG,DISS|UG/L||
710|71900|MERCURY|MERCURY, TOTAL (UG/L AS HG)|HG,TOTAL|UG/L||
711|73071|DICLRVOS|DICHLORVOS, TOTAL, UG/L|TOTAL|UG/L||
712|73457|2BUTENE|2 BUTENE TRANS-1 4-DICHLORO, UNFILTERED, REC|DICHLORO|UG/L||
713|73511|ARSENIC|ARSENIC ACID, TOTAL, UG/L|ACID|UG/L||
714|73518|BENZENE|BENZENETHIOL, TOTAL, UG/L|THIOL|UG/L||
715|73570|METHACRY|METHACRYLATE ETHYL, WATER, UNFILTERED, REC|LATE ETH|UG/L||
716|74052|CHLOHDYC|CHLORINATED HYDROCARBONS, GENERAL (PERMIT)|PERMIT|GEN ||
717|74056|TOTCOLI|COLIFORM, TOTAL, (cfu/100mL)|COLIFORM|cfu/100mL||2017-03-20
718|75038|K40|POTASSIUM 40, TOTAL, PC/L|TOTAL|PC/L||
719|75980|DEISOPRO|DE-ISOPROPYLATRAZINE, WHOLE WATER, TOTAL, UG/L|ATRAZINE|UG/L||
720|75981|DEETHYL|DE-ETHYLATRAZINE, WHOLE WATER, TOTAL, UG/L|ATRAZINE|UG/L||
721|75986|ALPHA-G|GROSS ALPHA, DISSOLVED (UG/L AS U-NAT)|NAT U|UG/L||
722|76002|RN-222|RN-222 2 SIGMA IN WHOLE WATER, TOTAL, PCI/L|TOTAL|pCi/L||
723|76141|MTHIBT|METHYL ISOBUTYL KETONE, TOTAL, UG/L|KETONE|UG/L||
724|77041|CARBON|CARBON DISULFIDE, TOTAL, UG/L|DISULFID|UG/L||
725|77045|PYRIDINE|PYRIDINE, TOTAL, UG/L|TOTAL|UG/L||
726|77052|METHCYCL|METHYLCYCLOPENTANE IN WATER, UG/L|PENTANE|UG/L||
727|77057|ACETATE|ACETATE VINYL, WATER, UNFILTERED, REC|VINYL|UG/L||
728|77089|ANILINE|ANILINE IN WHOLE WATER, UG/L|TOTAL|UG/L||
729|77093|C-1,2DCE|CIS-1,2-DICHLOROETHYLENE, TOTAL, UG/L|TOTAL|UG/L||
730|77097|CYCLOHEX|CYCLOHEXANONE, TOTAL, UG/L|ANONE T|UG/L||
731|77100|METHCYCL|METHYLCYCLOHEXANE IN WATER, UG/L|HEXANE|UG/L||
732|77103|2-HEXANO|2-HEXANONE, WATER WHOLE, TOTAL|NE TOTAL|UG/L||
733|77128|STYRENE|STYRENE, TOTAL, UG/L|TOTAL|UG/L||
734|77135|O-XYLENE|O-XYLENE, TOTAL, UG/L|TOTAL|UG/L||
735|77147|BNZYLALC|BENZYL ALCOHOL IN WHOLE WATER, UG/L|TOTAL|UG/L||
736|77152|O-CRESOL|O-CRESOL IN WHOLE WATER, UG/L|TOTAL|UG/L||
737|77163|1,3DCHLR|1,3-DICHLOROPROPENE, TOTAL, UG/L|PROPENE|UG/L||
738|77164|RESORCIN|RESORCINAL, TOTAL, UG/L|TOTAL|UG/L||
739|77168|1,1DCLRO|1,1-DICHLOROPROPENE, TOTAL, UG/L|PROPENE|UG/L||
740|77170|2,2DICHR|2,2-DICHLOROPROPANE, TOTAL, UG/L|PROPANE|UG/L||
741|77173|1,3DICHR|1,3-DICHLOROPROPANE, TOTAL, UG/L|PROPANE|UG/L||
742|77182|2HEPTONE|2-HEPTANONE IN WHOLE WATER, UG/L|TOTAL|UG/L||
743|77220|TOLUENE|TOLUENE O-METHYL, WATER, UNFILTERED, REC|O-ETHYL|UG/L||
744|77221|BENZENE|BENZENE 123-TRI METHYL, WATER, UNTLTRD, REC|123-T MT|UG/L||
745|77222|PSEUDOCU|PSEUDOCOMENE (1,2,4-TRIMETHYLBENZENE), TOTAL, UG/L|MENE TOT|UG/L||
746|77223|ISOPROPY|ISOPROPYLBENZENE IN WHOLE WATER, TOTAL, UG/L|LBENZENE|UG/L||
747|77224|BENZENE|N-PROPYLBENZENE, TOTAL, UG/L|N-PROPYL|UG/L||
748|77226|MESITYL-|MESITYLENE (1,3,5-TRIMETHYLBENZENE), TOTAL, UG/L|ENE DISS|UG/L||
749|77247|BNZOICA|BENZOIC ACID IN WHOLE WATER, UG/L|TOTAL|UG/L||
750|77275|O-CHLORO|O-CHLOROTOLUENE IN WHOLE WATER, UG/L|TOLUENE|UG/L||
751|77277|TOLUENE|P-CHLOROTOLUENE, WATER, TOTAL RECOVERABLE, UG/L|P-CHLOR|UG/L||
752|77297|METHANE|BROMOCHLOROMETHANE, IN WHOLE WATER, UG/L|BROMCLOR|UG/L||
753|77342|N-BUTLBZ|N-BUTYLBENZENE, WHOLE WATER, UG/L|TOTAL|UG/L||
754|77350|BENZENE|SEC BUTYLBENZENE, WATER, TOTAL RECOVERABLE, UG/L|SECBUTYL|UG/L||
