date,Coal,Hydro,Nuclear,Other,Wind,NGas
2010-07-01,397711.1285,4225.881764,121049.2425,13288.67484,76044.25875,441243.89496
2010-07-02,410970.8825,4116.567096,120995.5056,13123.38238,64735.31646,485113.4586
2010-07-03,392175.0812,3628.44977,121018.9059,14645.23455,50204.88728,491204.8374
2010-07-04,380952.6342,3565.826746,118964.8326,15971.82429,78312.87422,431408.3155
2010-07-05,395721.3745,3469.44576,116887.7176,15240.77131,59920.63799,426137.64327999996
2010-07-06,390649.4313,3377.787121,117044.7292,13310.61441,25595.41909,338986.07379
2010-07-07,381598.5629,3508.687243,117278.6755,14167.87241,62406.17835,390715.0318
2010-07-08,372820.7502,3443.042568,113984.1788,14281.8674,92896.3266,396042.50156999996
2010-07-09,397652.4237,3397.222481,116916.6706,14822.67232,62612.85559,422190.38103
2010-07-10,402180.2048,3374.683545,118445.3066,16025.28154,67328.66738,447552.34728
2010-07-11,400596.0416,3279.164351,121575.0845,13440.19092,95801.50752,360649.30356000003
2010-07-12,396026.205,2296.356492,121669.6499,15121.28673,63845.09317,379287.64775
2010-07-13,410602.2687,2633.347792,121666.5717,15094.01272,103147.1178,390432.36112
2010-07-14,403540.798,2812.81281,121626.4279,15359.79926,126483.0931,398943.03984
2010-07-15,399335.0909,3002.805755,121661.1156,14345.30333,144402.2426,367335.64391
2010-07-16,401215.205,3039.375756,121685.9831,14775.52021,132256.3238,371802.92186999996
2010-07-17,418912.3243,2771.996681,121569.4267,15125.92191,103650.0475,446498.5612
2010-07-18,416146.5511,2549.42504,121648.654,15745.78734,79763.23572,435936.3109
2010-07-19,402335.661,2441.604463,121599.8065,16302.59953,104835.9083,458703.081
2010-07-20,405178.7528,2458.769073,121487.8458,16071.11225,121140.5021,433970.03278
2010-07-21,407289.1804,2478.812269,121486.9882,14823.76851,96939.98281,464406.8546
2010-07-22,392360.157,2272.64397,121519.636,12064.89153,90613.33864,455380.47186000005
2010-07-23,385190.9319,2277.346195,121415.766,13037.37692,91627.17846,436074.31758
2010-07-24,391217.6077,2371.909843,121217.9451,15545.49977,88834.32807,508571.78500000003
